TaskID  GiftID  GiftType  TaskType  RequestTime  TaskArrival  TT  Responsible
1       1       1         C         2            2            0   A
2       1       1         D         2            4            2   S
3       2       3         A         3            4            1   B
4       3       1         C         4            5            1   A
5       2       3         C         4            5            1   B
6       4       1         C         5            6            1   A
7       3       1         D         5            6            1   S
8       2       3         D         5            7            2   S
9       5       3         A         6            7            1   B
10      4       1         D         6            8            2   S
11      5       3         C         7            8            1   B
12      5       3         D         8            9            1   S
13      6       3         A         7            10           3   B
14      9       1         C         10           11           1   B
15      8       2         P         9            11           2   A
16      6       3         C         10           12           2   B
17      9       1         D         11           12           1   S
18      10      1         C         11           12           1   A
19      8       2         C         11           13           2   B
20      6       3         D         12           13           1   S
21      12      1         C         13           13           0   A
22      10      1         D         12           14           2   S
23      7       3         A         8            15           7   B
24      8       2         D         13           15           2   S
25      7       3         C         15           16           1   B
26      12      1         D         13           16           3   S
27      7       3         D         16           17           1   S
28      14      2         P         15           17           2   A
29      11      3         A         12           18           6   B
30      16      1         C         17           18           1   A
31      14      2         C         17           19           2   B
32      17      1         C         18           19           1   A
33      16      1         D         18           19           1   S
34      11      3         C         18           20           2   B
35      14      2         D         19           20           1   S
36      17      1         D         19           21           2   S
37      15      4         P         16           22           6   A
38      13      3         A         14           22           8   B
39      11      3         D         20           22           2   S
40      13      3         C         22           23           1   B
41      13      3         D         23           24           1   S
42      21      2         P         22           25           3   A
43      18      3         A         19           25           6   B
44      21      2         C         25           26           1   A
45      18      3         C         25           27           2   B
46      25      1         C         26           27           1   A
47      21      2         D         26           27           1   S
48      26      1         C         27           27           0   B
49      18      3         D         27           28           1   S
50      19      3         A         20           29           9   B
51      25      1         D         27           29           2   S
52      22      2         P         23           30           7   A
53      28      5         QN        29           30           1   S
54      27      1         C         28           31           3   A
55      28      5         AN        30           31           1   B
56      26      1         D         27           31           4   S
57      28      5         CN        31           32           1   B
58      19      3         C         29           32           3   A
59      27      1         D         31           32           1   S
60      22      2         C         30           33           3   B
61      15      4         Q         22           34           12  S
62      32      1         C         33           34           1   B
63      23      4         Q         24           35           11  S
64      23      4         P         35           35           0   A
65      15      4         C         34           35           1   B
66      28      5         DN        32           36           4   S
67      23      4         C         35           36           1   A
68      19      3         D         32           37           5   S
69      20      3         A         21           37           16  B
70      22      2         D         33           38           5   S
71      32      1         D         34           38           4   S
72      20      3         C         37           38           1   B
73      30      2         P         31           39           8   A
74      15      4         D         35           40           5   S
75      37      1         C         38           40           2   B
76      30      2         C         39           40           1   A
77      23      4         D         36           41           5   S
78      39      1         C         40           41           1   B
79      20      3         D         38           42           4   S
80      24      3         A         25           42           17  B
81      37      1         D         40           43           3   S
82      31      4         P         32           43           11  A
83      24      3         C         42           43           1   B
84      31      4         Q         43           44           1   S
85      43      1         C         44           44           0   B
86      30      2         D         40           45           5   S
87      31      4         C         44           45           1   B
88      39      1         D         41           46           5   S
89      35      2         P         36           46           10  A
90      44      1         C         45           46           1   B
91      33      5         Q         34           47           13  S
92      35      2         C         46           47           1   A
93      24      3         D         43           48           5   S
94      29      3         A         30           48           18  B
95      43      1         D         44           49           5   S
96      47      1         C         48           49           1   B
97      31      4         D         45           49           4   S
98      40      2         P         41           50           9   A
99      29      3         C         48           50           2   B
100     44      1         D         46           51           5   S
101     48      1         C         49           51           2   A
102     49      1         C         50           51           1   B
103     35      2         D         47           52           5   S
104     40      2         C         50           52           2   A
105     42      5         Q         43           53           10  S
106     33      5         A         47           53           6   B
107     47      1         D         49           54           5   S
108     52      1         C         53           54           1   B
109     29      3         D         50           55           5   S
110     45      4         P         46           55           9   A
111     48      1         D         51           55           4   S
112     33      5         C         53           55           2   B
113     54      1         C         55           56           1   A
114     55      1         C         56           56           0   B
115     49      1         D         51           57           6   S
116     40      2         D         52           57           5   S
117     34      3         A         35           58           23  B
118     52      1         D         54           58           4   S
119     46      2         P         47           59           12  A
120     57      1         C         58           59           1   B
121     33      5         D         55           59           4   S
122     34      3         C         58           60           2   A
123     45      4         Q         55           60           5   S
124     46      2         C         59           61           2   A
125     58      3         AN        59           61           2   B
126     54      1         D         56           61           5   S
127     60      1         C         61           62           1   A
128     58      3         CN        61           62           1   B
129     55      1         D         56           62           6   S
130     45      4         C         60           63           3   A
131     58      3         DN        62           63           1   S
132     62      1         C         63           64           1   A
133     36      3         A         37           64           27  B
134     57      1         D         59           64           5   S
135     63      1         C         64           65           1   A
136     36      3         C         64           65           1   B
137     34      3         D         60           65           5   S
138     46      2         D         61           66           5   S
139     38      3         A         39           67           28  B
140     60      1         D         62           67           5   S
141     50      2         P         51           68           17  A
142     66      1         C         67           68           1   B
143     45      4         D         63           68           5   S
144     67      1         C         68           69           1   B
145     38      3         C         67           69           2   A
146     62      1         D         64           69           5   S
147     50      2         C         68           70           2   B
148     63      1         D         65           70           5   S
149     51      5         Q         52           71           19  S
150     59      4         P         60           72           12  A
151     42      5         A         53           72           19  B
152     36      3         D         65           72           7   S
153     42      5         C         72           73           1   B
154     66      1         D         68           73           5   S
155     72      1         C         73           74           1   B
156     67      1         D         69           74           5   S
157     64      2         P         65           75           10  A
158     38      3         D         69           76           7   S
159     74      1         C         75           76           1   A
160     51      5         A         71           76           5   B
161     50      2         D         70           76           6   S
162     64      2         C         75           77           2   A
163     75      1         C         76           77           1   B
164     42      5         D         73           77           4   S
165     51      5         C         76           78           2   A
166     72      1         D         74           78           4   S
167     53      3         A         54           79           25  B
168     74      1         D         76           79           3   S
169     53      3         C         79           80           1   B
170     64      2         D         77           80           3   S
171     69      2         P         70           81           11  A
172     79      1         C         80           81           1   B
173     75      1         D         77           81           4   S
174     69      2         C         81           82           1   A
175     51      5         D         78           82           4   S
176     81      1         C         82           83           1   A
177     61      3         A         62           83           21  B
178     53      3         D         80           84           4   S
179     82      1         C         83           84           1   A
180     61      3         C         83           84           1   B
181     79      1         D         81           84           3   S
182     69      2         D         82           85           3   S
183     65      3         A         66           86           20  B
184     59      4         Q         72           86           14  S
185     76      2         P         77           87           10  A
186     84      1         C         85           87           2   B
187     70      5         Q         71           88           17  S
188     65      3         C         86           88           2   A
189     59      4         C         86           88           2   B
190     81      1         D         83           88           5   S
191     76      2         C         87           89           2   A
192     87      1         C         88           89           1   B
